symbol_y,symbol_x,sharpe,best_entry_z,avg_log_return,final_equity,trades
ADA,SOL,1.555202,2.000000,0.000376,2193.514994,46.000000
LTC,XRP,1.464036,2.000000,0.000450,2863.754367,37.000000
BNB,UNI,1.461471,2.500000,0.000238,1641.263030,21.000000
LTC,DOGE,1.236370,2.000000,0.000436,2561.361586,26.000000
ATOM,BNB,1.191636,1.500000,0.000266,1846.158016,137.000000
ADA,ATOM,1.171656,2.000000,0.000153,1422.491634,34.000000
LINK,ETH,1.028173,1.500000,0.000195,1576.040747,101.000000
ATOM,SOL,1.013262,1.500000,0.000308,1904.321562,114.000000
ADA,AVAX,0.999006,1.500000,0.000288,1818.514843,112.000000
LTC,UNI,0.986190,1.000000,0.000418,2390.340045,137.000000
LTC,SOL,0.926601,1.500000,0.000262,1726.918635,110.000000
SOL,AVAX,0.916647,2.000000,0.000195,1499.437836,39.000000
BCH,SOL,0.889443,1.500000,0.000322,1957.911045,116.000000
ADA,BTC,0.873688,1.500000,0.000234,1719.870059,148.000000
AVAX,ADA,0.864575,1.500000,0.000189,1482.551184,23.000000
ATOM,UNI,0.819550,2.000000,0.000140,1339.190937,43.000000
SOL,XRP,0.814340,1.000000,0.000315,1930.918700,23.000000
AVAX,UNI,0.795893,2.500000,0.000121,1285.287248,22.000000
TRX,ATOM,0.793416,2.000000,0.000221,1665.541579,59.000000
XRP,LTC,0.768158,1.000000,0.000295,1993.723700,240.000000
AVAX,BTC,0.768001,1.500000,0.000208,1541.048672,120.000000
TRX,XRP,0.736260,1.000000,0.000231,1715.428290,53.000000
UNI,ATOM,0.724923,2.000000,0.000115,1271.402258,41.000000
ATOM,BTC,0.708764,1.500000,0.000161,1451.556001,131.000000
BTC,ATOM,0.707489,2.000000,0.000102,1267.012544,47.000000
ETH,BTC,0.702165,1.500000,0.000120,1331.110288,148.000000
LINK,XRP,0.699174,2.000000,0.000119,1319.907527,22.000000
UNI,LTC,0.694752,1.000000,0.000307,1896.874680,205.000000
BNB,ATOM,0.685631,1.000000,0.000204,1599.150728,141.000000
LINK,BTC,0.665714,1.500000,0.000181,1524.917373,140.000000
